city_country,city,country,lat,lon,elevation_m,fetched_at
Germany|Freiburg im Breisgau,Freiburg im Breisgau,Germany,47.9959,7.85222,278.0,2026-07-20T01:03:06.704370+00:00
Germany|Hamburg Norderstedt,Hamburg Norderstedt,Germany,,,,2026-07-20T01:03:06.704370+00:00
Germany|Mainz,Mainz,Germany,49.98185,8.28008,125.0,2026-07-20T01:03:06.704370+00:00
Germany|Mönchengladbach,Mönchengladbach,Germany,51.18539,6.44172,57.0,2026-07-20T01:03:06.704370+00:00
Germany|Leipzig,Leipzig,Germany,51.33962,12.37129,116.0,2026-07-20T01:03:06.704370+00:00
Germany|Sinsheim,Sinsheim,Germany,49.2529,8.87867,162.0,2026-07-20T01:03:06.704370+00:00
Germany|Bremen,Bremen,Germany,53.07582,8.80717,17.0,2026-07-20T01:03:06.704370+00:00
Germany|Augsburg,Augsburg,Germany,48.37154,10.89851,489.0,2026-07-20T01:03:06.704370+00:00
Germany|Wolfsburg,Wolfsburg,Germany,52.42452,10.7815,62.0,2026-07-20T01:03:06.704370+00:00
Germany|Aue,Aue,Germany,50.59034,12.70657,399.0,2026-07-20T01:03:06.704370+00:00
Germany|Cologne,Cologne,Germany,50.93333,6.95,58.0,2026-07-20T01:03:06.704370+00:00
Italy|Genova,Genova,Italy,14.62216,-91.8358,362.0,2026-07-20T01:03:06.704370+00:00
Italy|Reggio Emilia,Reggio Emilia,Italy,44.69825,10.63125,58.0,2026-07-20T01:03:06.704370+00:00
Italy|Milano,Milano,Italy,30.71047,-96.86331,159.0,2026-07-20T01:03:06.704370+00:00
Italy|Roma,Roma,Italy,47.83333,26.6,128.0,2026-07-20T01:03:06.704370+00:00
Italy|Cagliari,Cagliari,Italy,39.23054,9.11917,6.0,2026-07-20T01:03:06.704370+00:00
Italy|Como,Como,Italy,45.80819,9.0832,201.0,2026-07-20T01:03:06.704370+00:00
Italy|Bergamo,Bergamo,Italy,45.69601,9.66721,249.0,2026-07-20T01:03:06.704370+00:00
Italy|Torino,Torino,Italy,45.07049,7.68682,239.0,2026-07-20T01:03:06.704370+00:00
Italy|Udine,Udine,Italy,46.0693,13.23715,113.0,2026-07-20T01:03:06.704370+00:00
Italy|Lecce,Lecce,Italy,40.35481,18.17244,49.0,2026-07-20T01:03:06.704370+00:00
Italy|Bologna,Bologna,Italy,44.49381,11.33875,54.0,2026-07-20T01:03:06.704370+00:00
Italy|Parma,Parma,Italy,44.79935,10.32618,57.0,2026-07-20T01:03:06.704370+00:00
Italy|Napoli,Napoli,Italy,13.18333,-16.18333,27.0,2026-07-20T01:03:06.704370+00:00
Italy|Pisa,Pisa,Italy,43.70853,10.4036,4.0,2026-07-20T01:03:06.704370+00:00
Italy|Firenze,Firenze,Italy,43.80077,11.23441,58.0,2026-07-20T01:03:06.704370+00:00
Italy|Verona,Verona,Italy,45.43854,10.9938,59.0,2026-07-20T01:03:06.704370+00:00
Norway|Tromsø,Tromsø,Norway,69.6489,18.95508,9999.0,2026-07-20T01:03:06.704370+00:00
Norway|Sarpsborg,Sarpsborg,Norway,59.28391,11.10962,54.0,2026-07-20T01:03:06.704370+00:00
Norway|Hamar,Hamar,Norway,60.7945,11.06798,137.0,2026-07-20T01:03:06.704370+00:00
Norway|Oslo,Oslo,Norway,59.91273,10.74609,26.0,2026-07-20T01:03:06.704370+00:00
Norway|Molde,Molde,Norway,62.73752,7.15912,3.0,2026-07-20T01:03:06.704370+00:00
Norway|Drammen,Drammen,Norway,59.74389,10.20449,11.0,2026-07-20T01:03:06.704370+00:00
Norway|Bodø/Glimt,Bodø/Glimt,Norway,,,,2026-07-20T01:03:06.704370+00:00
Norway|Bryne,Bryne,Norway,58.73536,5.64766,33.0,2026-07-20T01:03:06.704370+00:00
Norway|Haugesund,Haugesund,Norway,59.41378,5.268,17.0,2026-07-20T01:03:06.704370+00:00
Norway|Sandefjord,Sandefjord,Norway,59.13118,10.21665,11.0,2026-07-20T01:03:06.704370+00:00
Norway|Kristiansund,Kristiansund,Norway,63.11045,7.72795,1.0,2026-07-20T01:03:06.704370+00:00
Norway|Fredrikstad,Fredrikstad,Norway,59.2181,10.9298,6.0,2026-07-20T01:03:06.704370+00:00
Norway|Stavanger,Stavanger,Norway,58.97005,5.73332,15.0,2026-07-20T01:03:06.704370+00:00
Norway|Bergen,Bergen,Norway,60.39299,5.32415,20.0,2026-07-20T01:03:06.704370+00:00
Norway|Trondheim,Trondheim,Norway,63.43049,10.39506,18.0,2026-07-20T01:03:06.704370+00:00
Norway|Aalesunds,Aalesunds,Norway,,,,2026-07-20T01:03:06.704370+00:00
Norway|Lillestrøm,Lillestrøm,Norway,59.95597,11.04918,116.0,2026-07-20T01:03:06.704370+00:00
Netherlands|Eindhoven,Eindhoven,Netherlands,51.44083,5.47778,22.0,2026-07-20T01:03:06.704370+00:00
Portugal|Lisbon,Lisbon,Portugal,38.72509,-9.1498,68.0,2026-07-20T01:03:06.704370+00:00
Greece|Piraeus,Piraeus,Greece,37.94203,23.64619,29.0,2026-07-20T01:03:06.704370+00:00
Czechia|Prague,Prague,Czechia,50.08804,14.42076,202.0,2026-07-20T01:03:06.704370+00:00
Netherlands|Amsterdam,Amsterdam,Netherlands,52.37403,4.88969,13.0,2026-07-20T01:03:06.704370+00:00
Belgium|Brugge,Brugge,Belgium,51.20892,3.22424,13.0,2026-07-20T01:03:06.704370+00:00
Denmark|Copenhagen,Copenhagen,Denmark,55.67594,12.56553,14.0,2026-07-20T01:03:06.704370+00:00
Kazakhstan|Almaty,Almaty,Kazakhstan,43.25249,76.9115,783.0,2026-07-20T01:03:06.704370+00:00
Türkiye|Istanbul,Istanbul,Türkiye,41.01384,28.94966,39.0,2026-07-20T01:03:06.704370+00:00
Cyprus|Kolossi,Kolossi,Cyprus,34.66865,32.93375,54.0,2026-07-20T01:03:06.704370+00:00
